1027859	1252408
1017615	668
6745885	1268522
1018110	1018110
1014609	1014609
6713071	2976
1014175	1014175
1008798	1008798
1013851	1013851
6696814	1030672
1036747	1239516
1278781	1021980
2035175	1007565
1327067	1308328
2006482	1140837
1314530	1237371
1160800	1345290
1255401	1055061
1307351	1055061
1234249	1005225
6622310	1094137
1261919	6977528
2103190	1002909
9929875	1009048
2118737	1011363
9929864	1000699
6666813	1305683
1172822	1127113
2026635	1001597
6726078	1018408
1039896	1277013
1239168	1266817
6819291	1277876
2030690	2060894
6786886	166
1051692	1307569
1239193	1012079
1291581	78
6642817	1010969
1293171	1007614
1070350	1034635
6603691	1279932
1027851	1063053
2060513	2029258
1277348	668
1253023	1033862
1002892	1002451
2060435	1256876
6612396	1301739
1280154	1021970
6617155	1039381
1006102	1034635
6697417	2013670
1059007	2653
2101386	2013670
1098456	1254644
6633276	1013675
162	1332522
1246265	1010669
6708991	1009773
1000110	1034635
1002566	1034635
1001864	1001864
9929533	1000088
1289246	1023527
1261152	1007206
2113342	1134530
1016805	3195
1325227	1246524
1245064	1264
1015753	1261449
2164287	10076841
1044186	10076841
1006661	1172842
6639087	974
1028218	1349406
9928967	15
1269139	1003505
2150015	1018408
6611952	1269012
2134206	1062330
6893915	1017065
10345702	1017065
6880926	1017065
6873763	1259700
1231677	1294194
1333467	1156425
1169681	1651
1106289	2093800
6634844	1018408
2111668	2085
1038666	1295935
10112808	3437
9928973	1000113
10203303	6618355
1279723	1007263
1022552	1249851
2279441	6834637
1214254	1262045
1011272	1246839
10021668	1250233
6648707	1088328
1002139	1018807
1040536	2073100
1050544	1002332
6852428	1035970
1318457	1002152
1010410	1013654
1273591	1598
2144935	1066433
1000935	6747938
6603035	1314538
2073427	1006475
1305679	1034635
6723001	2039323
6612338	1257158
15	15
6843840	1326
1140506	1271441
1097968	1004831
9929045	153
1265244	3122
1010155	1252957
1246508	1013471
6666470	1349406
10328673	1956
3630	6951848
9919424	234
10013648	733
1185593	1028908
1030955	5452
1101433	1755
6979261	1008583
1199139	166
9929269	1238242
1323083	1029530
6652651	1009454
2684	1002480
1266264	1286358
1299041	1034635
10107676	118
6843503	1257158
10140618	28
1210088	1104179
6640761	1254011
1010284	1018807
1260442	2060894
1027472	2036
2085035	1000236
1156068	1001859
1211487	1014738
1123801	1034202
9929763	1003778
1327730	6705745
1016673	1298111
9910959	1034635
6644630	1065358
1146111	1000123
9929062	1010646
6666050	1294194
1104667	1012935
6747304	4538
1262727	2176737
9931068	1003361
1024502	1009571
6777696	1047693
1047140	1277286
1329111	1023485
1010145	1249657
1321574	71
1004857	1034635
2112240	1246983
1304801	1307569
10328618	2814
10227482	1000200
1341684	71
2036732	71
2034497	71
1338466	71
1351048	71
1339315	71
1009443	1020059
6927588	1107395
6755702	1014604
1037848	1007201
1321035	1007201
1051861	1056268
2066585	1178346
